Investor_df2,Matched_df1,Score,Confidence
Aberdeen Asset Managers Ltd.,Aberdeen Asset Managers Ltd.,100,High
Acadian Asset Management LLC,,65.57377049180329,Low
Achmea IM,Achmea Investment Management BV,44.99999999999999,Low
Aegon Asset Management,,69.56521739130434,Low
Alberta Investment Management Corp,Alberta Investment Management Corp.,98.55072463768117,High
AllianceBernstein LP,AllianceBernstein LP,100,High
Allianz Global Investors GmbH,Allianz Global Investors GmbH,100,High
Amundi Asset Management SA (Investment Management),Amundi Asset Management SA (Investment Management),100,High
Andra Ap - Fonden 2 (AP2),Andra AP-fonden,44.99999999999999,Low
APG Asset Management NV,APG Asset Management NV,100,High
AQR Capital Management LLC,AQR Capital Management LLC,100,High
ARG Asset Management,ARG Asset Management LLP,90.90909091,High
Artemis voting policy,Artemis Investment Management LLP,44.44444444444444,Low
Artisan Partners,Artisan Partners LP,91.42857142857143,High
Assenagon Asset Management SA (Germany),,58.46153846153845,Low
Asset Management One,,78.26086956521739,Low
Aviva Investors Global Services Ltd,Aviva Investors Global Services Ltd.,98.59154929577466,High
AXA Investment Managers (Paris) SA,AXA Investment Managers (Paris) SA,100,High
Baillie Gifford & Co,Baillie Gifford & Co.,97.56097561,High
Baring Asset Management,Barings Asset Management,97.87234042553192,High
"Blackrock, Inc",BlackRock Fund Advisors,54.054054054054056,Low
BMO Global Asset Management,BMO Asset Managers Ltd.,76.66666666666666,Low
BNP Paribas Asset Management France SAS,BNP Paribas Asset Management France SAS,100,High
"Boston Partners Global Investors, Inc","Boston Partners Global Investors, Inc.",98.66666666666667,High
Brandes Investment Partners LP,Brandes Investment Partners LP,100,High
Brewin Dolphin,,29.166666666666664,Low
British Columbia Investment Management Corporation (BCI),British Columbia Investment Management Corporation (BCI),100,High
Caisse des Depots et Consignations,The Caisse de depot et placement du Quebec,47.36842105263158,Low
California State Teachers' Retirement System,California State Teachers' Retirement System,100,High
Calvert Research and Management,Calvert Research & Management,90,High
Canada Life,Canada Life Asset Management Ltd.,50,Low
Canada Pension Plan Investment Board,Canada Pension Plan Investment Board,100,High
Canada Post Corp. Registered Pension Plan (Invt Mgmt),Canada Post Corp. Registered Pension Plan (Investment Management),89.83050847457628,Low
Candriam Investors Group,Candriam Investors Group,100,High
Capital Research & Management Co. (World Investors),Capital Research & Management Co. (World Investors),100,High
Cardano (fka ACTIAM NV),,34.375,Low
"Charles Schwab Investment Management, Inc","Charles Schwab Investment Management, Inc.",98.79518072289156,High
Chelverton Asset Management,,78.43137254901961,Low
"Churches, Charities, and Local Authorities Investment Management Limited (CCLA Investment Management)",CCLA Investment Management Ltd.,59.87261146496815,Low
Cohen & Steers,"Cohen & Steers Capital Management, Inc.",52.83018867924528,Low
Colorado Public Employees' Retirement Association,Colorado Public Employees' Retirement Association,100,High
Columbia Threadneedle Investments,,64.51612903225806,Low
COMGEST GLOBAL INVESTORS S.A.S. (Comgest),Comgest SA,39.21568627450981,Low
Comptroller NYC,Comptroller NYC,100,High
Connor Clark & Lunn,,41.379310344827594,Low
Credit Suisse Asset Management (Schweiz) AG,Credit Suisse Asset Management (Schweiz) AG,100,High
Degroof Petercam,Degroof Petercam Asset Management SA,61.53846153846154,Low
Deka Investment GmbH,Deka Investment GmbH,100,High
Dimensional Fund Advisors LP,Dimensional Fund Advisors LP,100,High
DNB Asset Management,DNB Asset Management AS,93.02325581395348,High
DNCA Investments,DNCA Finance SA,72.22222222222221,Low
Dodge & Cox,Dodge & Cox,100,High
Driehaus Capital Management,Driehaus Capital Management LLC,93.10344827586206,High
Duff & Phelps Investment Management,Duff & Phelps Investment Management,100,High
Eaton Vance Management,Eaton Vance Management,100,High
Edinburgh Partners Ltd,,44.44444444444444,Low
Erste Asset Management,Erste Asset Management GmbH,89.79591836734694,Low
Ethos,,26.66666666666667,Low
Fiera Capital Corp,Fiera Capital Corp. (Investment Management),59.01639344262295,Low
FIL Investment Advisors (UK) Ltd,"Fidelity Management & Research (UK), Inc.",52.30769231,Low
First Sentier Investors,First Sentier Investors (Australia) IM Ltd.,69.6969697,Low
Florida RSTF,,37.03703703703704,Low
Florida state board of Adminstration (fsba),State Board of Administration of Florida Retirement System,57.425742574257434,Low
Franklin Templeton Fund Management Ltd,Franklin Templeton Fund Management Ltd.,98.7012987,High
Geode Capital Management LLC,,69.84126984126983,Low
GMO Funds Public Limited Company,"Grantham, Mayo, Van Otterloo & Co. LLC",46.37681159420289,Low
Goldman Sachs Asset Management LP,Goldman Sachs Asset Management LP,100,High
Gresham House Asset Management,Gresham House Plc (Investment Management),78.87323943661973,Low
Guardians of New Zealand Superannuation,Guardians of New Zealand Superannuation,100,High
Harris Associates LP,Harris Associates LP,100,High
Healthcare of Ontario Pension Plan,,44.44444444444444,Low
Hermes EOS,Hermes Equity Ownersip Services (Hermes EOS),37.03703703703704,Low
HSBC Global Asset Management (UK) Ltd,HSBC Global Asset Management (UK) Ltd.,98.66666666666667,High
Impax Asset Management,Impax Asset Management Ltd.,89.79591836734694,Low
Insight Investment Management,Insight Investment Management (Global) Ltd.,80.55555555555556,Low
Invesco Asset Management Ltd,Invesco Asset Management Ltd.,98.24561403508771,High
Irish Life Investment Managers Ltd,Irish Life Investment Managers Ltd.,98.55072463768117,High
ISS,,33.333333333333336,Low
Janus Henderson Investors,Janus Henderson Investors,100,High
Jennison Associates LLC,Jennison Associates LLC,100,High
JPMorgan Asset Management (UK) Ltd,JPMorgan Asset Management (UK) Ltd.,98.55072463768117,High
Jupiter Asset Management Ltd,Jupiter Asset Management Ltd.,98.24561403508771,High
La Banque Postale,La Banque Postale Asset Management SA,62.96296296296296,Low
La Francaise Asset Management,,77.41935483870968,Low
Lazard Asset Management LLC,Lazard Asset Management LLC,100,High
Legal & General,Legal & General Investment Management Ltd.,52.63157894736843,Low
LGPS Central,LGPS Central Ltd.,82.75862068965517,Low
Liontrust Sustainable Investments,Liontrust Sustainable Investments,100,High
Lombard Odier Investment Managers,Lombard Odier Investment Managers,100,High
"Loomis, Sayles & Co","Loomis, Sayles & Co",100,High
M&G Investment Management Ltd,M&G Investment Management Ltd.,98.30508474576271,High
Mackenzie Financial Corp,Mackenzie Financial Corp.,97.95918367346938,High
Manulife Investment Management (US) LLC,Manulife Investment Management (US) LLC,100,High
Marathon Asset Management,Marathon Asset Management,100,High
Martin Currie Investment Management Limited,,80.95238095238095,Low
Massachusetts Financial Services,Massachusetts Financial Services Co.,94.11764705882352,High
MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,100,High
Mediolanum International Funds Ltd,,52.63157894736843,Low
Mellon Investments Corp.,Mellon Investments Corp.,100,High
Mirabaud Asset Management,Mirabaud Asset Management,100,High
Mondrian Investment Partners Ltd,Mondrian Investment Partners Ltd.,98.46153846153847,High
Montanaro Asset Management,Montanaro Asset Management Ltd.,91.22807017543859,High
Morgan Stanley Investment Management,Morgan Stanley Investment Management Ltd.,93.50649351,High
Natixis (Thematics Asset Management),Thematics Asset Management SAS,63.63636363636363,Low
Neuberger Berman,Neuberger Berman,100,High
Newton Investment Management,Newton Investment Management Ltd.,91.80327868852459,High
"Nikko Asset Management Co., Ltd","Nikko Asset Management Co., Ltd.",98.41269841269842,High
NNIP Advisors BV,NNIP Advisors BV,100,High
Norges Bank Investment Management,Norges Bank Investment Management,100,High
Northern Trust Global Investments Ltd,Northern Trust Global Investments Ltd.,98.66666666666667,High
Ontario Municipal Employees Retirement System,,73.80952380952381,Low
Ontario Teachers' Pension Plan Board,Ontario Teachers' Pension Plan Board,100,High
OPERS,Ohio Public Employees Retirement System,26.66666666666667,Low
Ossiam SA,Ossiam SA,100,High
Ostrum Asset Management SA,Ostrum Asset Management SA,100,High
Pennsylvania State Employees' Retirement System,Pennsylvania State Employees' Retirement System,100,High
PGGM,PGGM Vermogensbeheer BV,29.629629629629626,Low
Principal Global Investors LLC,Principal Global Investors LLC,100,High
Putnam Investments,"Value Partners Investments, Inc.",64,Low
Rathbones Investment Management,Rathbones Investment Management,100,High
"RBC Indigo (fka HSBC Canada), Inc","RBC Global Asset Management, Inc.",39.39393939393939,Low
River and Mercantile Asset Management,River & Mercantile Asset Management LLP,86.84210526,Low
Robeco Institutional Asset Management BV,Robeco Institutional Asset Management BV,100,High
Royal London Asset Management,Royal London Asset Management Ltd.,92.06349206349206,High
Russell Investment Management LLC,Russell Investment Management LLC,100,High
Sarasin & Partners,Sarasin & Partners LLP,90,High
Schroder Investment Management Ltd,Schroder Investment Management Ltd.,98.55072463768117,High
SEI Investments Management Corporation,SEI Investments Management Corp.,88.57142857142857,Low
Silchester International Investors LLP,,67.5,Low
Slater Investments,,64,Low
State of Wisconsin Investment Board,State of Wisconsin Investment Board,100,High
State Retirement & Pension System of Maryland,State Retirement & Pension System of Maryland,100,High
State Street Global Advisors Ltd,State Street Global Advisors Ltd.,98.46153846153847,High
Stewart Investors,Stewart Investors (Singapore),73.91304347826086,Low
Swedbank Robur Fonder AB,Swedbank Robur Fonder AB,100,High
"T. Rowe Price Associates, Inc","T. Rowe Price Associates, Inc. (Investment Management)",69.87951807228916,Low
Teacher Retirement System of Texas,Teacher Retirement System of Texas,100,High
Teachers Retirement System of the State of Kentucky,Teachers Retirement System of the State of Kentucky,100,High
The California Public Employees Retirement System,The California Public Employees Retirement System,100,High
The Public Sector Pension Investment Board,The Public Sector Pension Investment Board,100,High
"The Vanguard Group, Inc","The Vanguard Group, Inc.",97.87234042553192,High
Triodos Investment Management,Triodos Investment Management BV (Investment Management),77.41935483870968,Low
TT International,TT International Investment Management LLP,55.172413793103445,Low
UBS Asset Management Switzerland AG,UBS Asset Management Switzerland AG,100,High
Unicorn Asset Management,Unicorn Asset Management,100,High
Union Investment,Union Investment Institutional GmbH,62.745098039215684,Low
UniSuper Management Pty Ltd,UniSuper Management Pty Ltd.,98.18181818181819,High
Universal-Investment-Gesellschaft mbH (Invt Mgmt),,55.670103092783506,Low
USS Investment Management Ltd,USS Investment Management Ltd.,98.30508474576271,High
Value Partners Investments,"Value Partners Investments, Inc.",89.65517241379311,Low
Van Ecke,Van Eck Associates Corp.,43.75,Low
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V,VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,98.9010989,High
Voya Investment Management Co. LLC,Voya Investment Management Co. LLC,100,High
Washington State Investment Board,Washington State Investment Board,100,High
Wellington Management,Wellington Management Co. LLP,84,Low
Zurcher Kantonalbank (Investment Management),Zurcher Kantonalbank (Investment Management),100,High
